전체 IPC,Unnamed: 2,Unnamed: 4,Unnamed: 6,Unnamed: 8,Unnamed: 10,Unnamed: 12,Unnamed: 14,Unnamed: 16,Unnamed: 18,Unnamed: 20,Unnamed: 22,Unnamed: 24,Unnamed: 26,Unnamed: 28,Unnamed: 30,Unnamed: 32,Unnamed: 34,Unnamed: 36,Unnamed: 38,Unnamed: 40,Unnamed: 42,Unnamed: 44,Unnamed: 46,Unnamed: 48,Unnamed: 50,Unnamed: 52,Unnamed: 54,Unnamed: 56,Unnamed: 58,Unnamed: 60,Unnamed: 62,Unnamed: 64,Unnamed: 66,Unnamed: 68,Unnamed: 70,Unnamed: 72,Unnamed: 74,Unnamed: 76,Unnamed: 78,Unnamed: 80,Unnamed: 82
A62C, A62C, A62C, A62C, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
H02S, B63B, B63B, B63H, B63H, B64U, B64U, B64U, B64U, B64U, B64U, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
A61N, A61B, A61B, A61B, C12N, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
C04B, C04B, C04B, C04B, C04B, E04B, C04B, C04B, C04B, C04B, C04B, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
G06Q, B63H, G01M, G06Q, G06Q, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
C08K, C08G, C08J, C08K, C08K, C08K, C08K, C08K, C08L, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
A62C, B64D, B64D, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
E04B, C04B, C04B, C04B, C04B, C04B, C04B, C04B, C04B, E04B, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
B64U, A62C, A62C, A62C, A62C, B05B, B64U, B64U, B64U, G08B, G08B, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
C08K, B32B, B32B, B32B, C08L, C08L, C08L, C08L, C08L, C08L, C09J, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
G06Q, A61L, A61L, B01D, B64C, B64U, C02F, G06Q, G08B, G08B, H04N, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
A62C, B64C, B64D, B64U, B64U, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
A62C, A62D, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
D03D, D03C, D06M, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
B64D, A62C, A62C, B05B, B05B, B64C, B64U, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
A62C, B64D, B64U, B64U, B64U, C08K, C08K, C08L, C09K, G05D, G09F, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
C08G, C08L, C08L, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
F16J, B33Y, B33Y, B33Y, C08G, C09K, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
A62C, A62C, B64C, B64C, B64C, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
C23C, C23C, B32B, B32B, B64U, B64U, B64U, B64U, A62C, C23C, C23C, C23C, B64U, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
G06Q, C08J, C08J, C08K, C08K, C08K, C08K, C08K, C08K, C08K, G08B, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
C08K, C08J, C08K, C08K, C08K, C08L, C08L, C08L, E04G, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
A62C, A62C, A62C, A62C, A62C, B05B, B05B, B64D, B64D, B65D, G08B, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
C21D, F27D, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
G16H, A61B, A61B, A61B, A61B, A61B, G06Q, G16H, G16H, G16H, G16H, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
A62C, A62C, A62C, A62D, A62D, F42B, F42B, F42D, G01J, G01S, H01H, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
B64D, A62C, A62C, A62C, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
A62C, A62C, A62C, A62C, A62C, H01B, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
G10K, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
F16L, C09D, C09D, F16L, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
C12N, C12N, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
F24F, F24F, F24F, F24C, G08B, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
A62C, A62C, A62C, A62C, B64F, E04H, E04H, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
A62C, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
C08G, C08J, C08K, C08K, C08K, C08K, C08K, C08L, C08L, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
A61N, A61B, A61B, A61B, C12N, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
H01M, H01M, H01M, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
C08K, C08K, C08K, C08K, C08K, C08K, C08K, C08L, C08L, C08L, C08L, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
C08L, C08K, C08L, C08K, C08K, C08K, C08K, C09K, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
A62D, C09K, C09K, C09K, C09K, B01J, E04B, C12N, C12N, C12N, C12N, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
C09J, C08K, C08K, C08K, C08K, C08L, C09J, E04G, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
C08L, C08G, C08K, C08K, C08L, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
A62C, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
B64C, A62C, B64C, B64D, B64D, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
B64C, B64C, B64D, B64D, B64D, B64D, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
E04G, C04B, C04B, C04B, C04B, C04B, C04B, C04B, C04B, C04B, C04B, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
G06Q, A62C, G06Q, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
G06Q, A62C, G06Q, G08G, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
E04B, C04B, C04B, C04B, C09D, C09D, C09D, E04B, C04B, C04B, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
A62C, A62C, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
B64C, B64C, B64C, B64D, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
B64D, A62C, F42C, F42C, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
C08L, C08G, C08G, C08G, C08K, C08K, C08L, C08L, C08L, C08L, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
G05D, A62C, B64C, B64D, B64D, B64D, G05D, G06F, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
D02G, D01G, D01G, D01G, D01H, D01H, D02G, D02G, D02G, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
C08J, C08J, C08J, C08J, C08J, C08K, C08K, C08L, C08L, C08L, C08L, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
A62C, A62C, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
C04B, C04B, C04B, C04B, C04B, C04B, C04B, C04B, E04G, C04B, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
E03B, A62C, B01D, B64F, E03B, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
C09K, C09D, C09D, C09D, C09D, C09D, C09D, C09D, C09K, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
B32B, B33Y, B33Y, C04B, C04B, C04B, C04B, C04B, C04B, C04B, C04B, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
B23Q, B23C, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
G06Q, B64C, B64D, G06Q, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
G06Q, B64C, B64D, B64D, G06Q, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
B64D, A62C, B64C, B64D, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
A62C, B64C, B64C, B64D, B64F, B64D, B64C, B64C, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
B64D, A62C, B64D, G03B, H04N, H04N, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
G01C, B64C, B64D, B64D, G01C, G01D, G03B, H04N, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
C08K, C08J, C08J, C08K, C08K, C08K, C09K, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
C09K, C08L, C08K, C08K, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
A62C, A62C, A62C, B64C, B64D, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
C04B, C04B, C04B, C04B, C04B, C04B, C04B, C04B, E04C, C04B, C04B, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
C04B, B28B, C04B, C04B, C04B, C04B, E04C, E04F, C04B, C04B, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
A62C, A62C, A62C, A62C, B64C, B64D, G08B, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
C09K, A62C, A62C, A62C, A62D, C09K, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
A62C, A62C, A62C, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
C08J, B29C, C08K, C08K, C08L, C08L, C08L, C08L, H01L, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
B32B, B32B, B32B, B32B, B32B, B32B, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
H04H, G08B, G08B, G08B, G08B, H04H, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
F24F, F24C, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
A62C, A62C, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
D06M, D06M, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
